MIT;14878024
Apache-2.0;4941010
ISC;2159488
GPL-3.0+;1475764
deprecated_GPL-3.0+;1380400
Pixar;1318960
BSD-2-Clause;1267898
BSD-3-Clause;1189402
GPL-2.0;1126628
Unlicense;1045277
deprecated_LGPL-2.1;769135
BSD-2;683327
OFL-1.1;644376
MIT-Wu;636907
CC-BY-3.0;552421
CC-BY-4.0;505566
LGPL-3.0;473179
CC0-1.0;400110
0BSD;309143
MPL-2.0-no-copyleft-exception;308912
deprecated_AGPL-3.0;266992
MITNFA;264446
MIT-0;253443
Zlib;194599
WTFPL;159889
EPL-1.0;80466
CC-BY-SA-4.0;73809
BSL-1.0;59493
LGPL-2.0+;58175
deprecated_LGPL-3.0;49741
Artistic-2.0;47873
ODC-By-1.0;46210
TCL;43728
EPL-2.0;34655
SGI-B-2.0;30927
MS-PL;27721
CDDL-1.0;26133
GPL-CC-1.0;26051
OFL-1.0;25111
PSF-2.0;22986
OSL-3.0;22401
Libpng;21619
Artistic-1.0-Perl;21124
OpenSSL;21044
PHP-3.01;20930
libtiff;20927
MPL-1.1;20679
CC-BY-SA-3.0;17204
AFL-3.0;17061
Ruby;16437
