MIT;13143775
Apache-2.0;4143725
ISC;1650371
deprecated_GPL-3.0+;1268682
GPL-3.0+;1263887
Pixar;966625
BSD-2-Clause;952070
GPL-2.0;935016
BSD-3-Clause;921600
Unlicense;804835
deprecated_LGPL-2.1;612466
OFL-1.1;514601
BSD-2;499767
MIT-Wu;456944
CC-BY-3.0;388365
CC-BY-4.0;363772
LGPL-3.0;362992
CC0-1.0;313637
MPL-2.0-no-copyleft-exception;235761
deprecated_AGPL-3.0;231349
0BSD;230305
MITNFA;183423
MIT-0;182437
Zlib;154815
WTFPL;113102
EPL-1.0;70411
CC-BY-SA-4.0;59104
BSL-1.0;47681
LGPL-2.0+;45445
deprecated_LGPL-3.0;38016
Artistic-2.0;35818
TCL;34122
EPL-2.0;31444
ODC-By-1.0;31075
SGI-B-2.0;25830
MS-PL;22573
GPL-CC-1.0;22231
CDDL-1.0;21986
OFL-1.0;19578
OSL-3.0;17545
PSF-2.0;17532
libtiff;17164
Libpng;16866
PHP-3.01;16783
OpenSSL;16129
Artistic-1.0-Perl;15169
MPL-1.1;15132
CC-BY-SA-3.0;13124
AFL-3.0;12885
FTL;12677
